DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
ulcerative colitis (UC),Bifidobacterium,"In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp.",What is the relationship between ulcerative colitis (UC) and Bifidobacterium?,relate
ulcerative colitis (UC),Lactobacillus,"In a small randomized double-blind placebo-controlled trial of UC, Lactobacillus acidophilus La-5 and Bifidobacterium animalis subsp.",What is the relationship between ulcerative colitis (UC) and Lactobacillus?,relate
crohn's disease (CD),Lactobacillus johnsonii,did not find that Lactobacillus johnsonii LA1 could prevent early endoscopic recurrence of CD patients after ileo-caecal resection (104).,What is the relationship between crohn's disease (CD) and Lactobacillus johnsonii?,negative
crohn's disease (CD),Lactobacillus,did not find that Lactobacillus johnsonii LA1 could prevent early endoscopic recurrence of CD patients after ileo-caecal resection (104).,What is the relationship between crohn's disease (CD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"Hence, from the valid clinical trials of IBD, we can discover that the main elevated fecal bacteria (genus level) that may involve in modulating gut microbiota-BAs axis are Lactobacillus and Bifidobacterium.",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,relate
Inflammatory bowel disease (IBD),Lactobacillus,"Hence, from the valid clinical trials of IBD, we can discover that the main elevated fecal bacteria (genus level) that may involve in modulating gut microbiota-BAs axis are Lactobacillus and Bifidobacterium.",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,relate
Inflammatory bowel disease (IBD),Streptococcus thermophilus,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve,Lactobacillusparacasei,Lactobacillusdelbrueckiisubsp.bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Streptococcus thermophilus?,relate
Inflammatory bowel disease (IBD),Lactobacillus acidophilus,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve,Lactobacillusparacasei,Lactobacillusdelbrueckiisubsp.bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus acidophilus?,relate
Inflammatory bowel disease (IBD),Bifidobacterium infantis,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve,Lactobacillusparacasei,Lactobacillusdelbrueckiisubsp.bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium infantis?,relate
Inflammatory bowel disease (IBD),Lactobacillus plantarum,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve,Lactobacillusparacasei,Lactobacillusdelbrueckiisubsp.bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus plantarum?,relate
Inflammatory bowel disease (IBD),Bifidobacterium longum,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve,Lactobacillusparacasei,Lactobacillusdelbrueckiisubsp.bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium longum?,relate
Inflammatory bowel disease (IBD),Bifidobacterium breve,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve,Lactobacillusparacasei,Lactobacillusdelbrueckiisubsp.bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium breve?,relate
Inflammatory bowel disease (IBD),Bifidobacterium,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve,Lactobacillusparacasei,Lactobacillusdelbrueckiisubsp.bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,relate
Inflammatory bowel disease (IBD),Streptococcus,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve,Lactobacillusparacasei,Lactobacillusdelbrueckiisubsp.bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Streptococcus?,relate
Inflammatory bowel disease (IBD),Lactobacillus,"White and co-workers demonstrated that VisbiomeTM (Lactobacillus plantarum, Streptococcus thermophilus, Bifidobacterium breve,Lactobacillusparacasei,Lactobacillusdelbrueckiisubsp.bulgaricus, Lactobacillus acidophilus, Bifidobacterium longum, and Bifidobacterium infantis) plus prednisone therapy could accelerate clinical remission, upregulate the expression of E-cadherin, occludin, and zonulin but did not improve the histopathologic inflammation than prednisone alone group in canine with idiopathic IBD.",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,relate
ulcerative colitis (UC),Clostridium butyricum,Sato and co-authors found that intestinal microbiota participated in 7a- dehydroxylation was restored in distal UC patients after 4 weeks of Clostridium butyricum intervention (153).,What is the relationship between ulcerative colitis (UC) and Clostridium butyricum?,negative
ulcerative colitis (UC),Clostridium,Sato and co-authors found that intestinal microbiota participated in 7a- dehydroxylation was restored in distal UC patients after 4 weeks of Clostridium butyricum intervention (153).,What is the relationship between ulcerative colitis (UC) and Clostridium?,negative
Inflammatory bowel disease (IBD),Bacteroides acidifaciens,"Collectively, after using probiotics in IBD and CAC, Lactobacillus, Bifidobacterium, Bacteroides, Parabacteroides, Clostridium, Blautia, Bacillus coagulans, Eubacterium or Eubacterium_fissicatena_group were increased in IBD, and Blautia, Bifidobacterium, Lactobacillus, Parabacteroides, Bacillus, Parabacteroides sp., Bacteroides acidifaciens, Bifidobacterium pseudolongum, Clostridium XI and XVIII were enhanced in CAC.",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroides acidifaciens?,positive
Inflammatory bowel disease (IBD),Bacillus coagulans,"Collectively, after using probiotics in IBD and CAC, Lactobacillus, Bifidobacterium, Bacteroides, Parabacteroides, Clostridium, Blautia, Bacillus coagulans, Eubacterium or Eubacterium_fissicatena_group were increased in IBD, and Blautia, Bifidobacterium, Lactobacillus, Parabacteroides, Bacillus, Parabacteroides sp., Bacteroides acidifaciens, Bifidobacterium pseudolongum, Clostridium XI and XVIII were enhanced in CAC.",What is the relationship between Inflammatory bowel disease (IBD) and Bacillus coagulans?,negative
Inflammatory bowel disease (IBD),Parabacteroides,"Collectively, after using probiotics in IBD and CAC, Lactobacillus, Bifidobacterium, Bacteroides, Parabacteroides, Clostridium, Blautia, Bacillus coagulans, Eubacterium or Eubacterium_fissicatena_group were increased in IBD, and Blautia, Bifidobacterium, Lactobacillus, Parabacteroides, Bacillus, Parabacteroides sp., Bacteroides acidifaciens, Bifidobacterium pseudolongum, Clostridium XI and XVIII were enhanced in CAC.",What is the relationship between Inflammatory bowel disease (IBD) and Parabacteroides?,negative
Inflammatory bowel disease (IBD),Bifidobacterium,"Collectively, after using probiotics in IBD and CAC, Lactobacillus, Bifidobacterium, Bacteroides, Parabacteroides, Clostridium, Blautia, Bacillus coagulans, Eubacterium or Eubacterium_fissicatena_group were increased in IBD, and Blautia, Bifidobacterium, Lactobacillus, Parabacteroides, Bacillus, Parabacteroides sp., Bacteroides acidifaciens, Bifidobacterium pseudolongum, Clostridium XI and XVIII were enhanced in CAC.",What is the relationship between Inflammatory bowel disease (IBD) and Bifidobacterium?,negative
Inflammatory bowel disease (IBD),Lactobacillus,"Collectively, after using probiotics in IBD and CAC, Lactobacillus, Bifidobacterium, Bacteroides, Parabacteroides, Clostridium, Blautia, Bacillus coagulans, Eubacterium or Eubacterium_fissicatena_group were increased in IBD, and Blautia, Bifidobacterium, Lactobacillus, Parabacteroides, Bacillus, Parabacteroides sp., Bacteroides acidifaciens, Bifidobacterium pseudolongum, Clostridium XI and XVIII were enhanced in CAC.",What is the relationship between Inflammatory bowel disease (IBD) and Lactobacillus?,negative
Inflammatory bowel disease (IBD),Eubacterium,"Collectively, after using probiotics in IBD and CAC, Lactobacillus, Bifidobacterium, Bacteroides, Parabacteroides, Clostridium, Blautia, Bacillus coagulans, Eubacterium or Eubacterium_fissicatena_group were increased in IBD, and Blautia, Bifidobacterium, Lactobacillus, Parabacteroides, Bacillus, Parabacteroides sp., Bacteroides acidifaciens, Bifidobacterium pseudolongum, Clostridium XI and XVIII were enhanced in CAC.",What is the relationship between Inflammatory bowel disease (IBD) and Eubacterium?,negative
Inflammatory bowel disease (IBD),Bacteroides,"Collectively, after using probiotics in IBD and CAC, Lactobacillus, Bifidobacterium, Bacteroides, Parabacteroides, Clostridium, Blautia, Bacillus coagulans, Eubacterium or Eubacterium_fissicatena_group were increased in IBD, and Blautia, Bifidobacterium, Lactobacillus, Parabacteroides, Bacillus, Parabacteroides sp., Bacteroides acidifaciens, Bifidobacterium pseudolongum, Clostridium XI and XVIII were enhanced in CAC.",What is the relationship between Inflammatory bowel disease (IBD) and Bacteroides?,positive
